역명,호선,구,동,상세주소,전화번호,loc1,loc2
서울,1,중구,봉래동,서울특별시 중구 봉래동2가 122 서울역(1호선),6110-1331,37.55816697,126.9695879
시청,1,중구,정동,서울특별시 중구 정동 5-5 시청역(1호선),6110-1321,37.56560844,126.9769447
종각,1,종로구,종로1가,서울특별시 종로구 종로1가 54 종각지하철역사,6110-1311,37.5702326,126.9814158
종로3가,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),6110-1301,37.5704486,126.9908961
종로5가,1,종로구,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,6110-1291,37.57103115,127.0019425
동대문,1,종로구,창신동,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),6110-1281,37.57176702,127.0112572
신설동,1,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),6110-1261,37.5764587,127.0259607
제기동,1,동대문구,제기동,서울특별시 동대문구 제기동 65 제기동역,6110-1251,37.57827141,127.0387737
청량리(서울시립대입구),1,동대문구,전농동,서울특별시 동대문구 전농동 620-69 청량리역,6110-1241,37.57981789,127.0460264
동묘앞,1,종로구,숭인동,서울특별시 종로구 숭인동 117 동묘앞역(1호선),6110-1271,37.57359668,127.0171392
시청,2,중구,서소문동,서울특별시 중구 서소문동 90-1 시청역(2호선),6110-2011,37.56356289,126.9755191
을지로입구,2,중구,을지로1가,서울특별시 중구 을지로1가 100-1 을지로입구역,6110-2021,37.56605956,126.9820843
을지로3가,2,중구,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),6110-2031,37.56621071,126.9902285
을지로4가,2,중구,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),6110-2041,37.5665283,126.9965433
동대문역사문화공원,2,중구,을지로7가,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),6110-2051,37.56577472,127.0085615
신당,2,중구,신당동,서울특별시 중구 신당동 99 신당역(2호선),6110-2061,37.56560805,127.0202721
상왕십리,2,성동구,하왕십리동,서울특별시 성동구 하왕십리동 946-14 상왕십리역,6110-2071,37.56397414,127.0298085
왕십리(성동구청),2,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(2호선),6110-2081,37.56122174,127.0366554
한양대,2,성동구,행당동,서울특별시 성동구 행당동 산17 17 한양대역,6110-2091,0,0
뚝섬,2,성동구,성수동1가,서울특별시 성동구 성수동1가 656-745 뚝섬역,6110-2101,37.54718822,127.0473652
성수,2,성동구,성수동2가,서울특별시 성동구 성수동2가 300-1 성수역,6110-2111,37.54468253,127.0569828
건대입구,2,광진구,화양동,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),6110-2121,37.54081604,127.0690313
구의(광진구청),2,광진구,구의동,서울특별시 광진구 구의동 245-24 2호선 구의역,6110-2131,37.53832124,127.0907671
강변(동서울터미널),2,광진구,구의동,서울특별시 광진구 구의동 546-6 2호선 강변역,6110-2141,37.53538282,127.0945451
잠실나루,2,송파구,신천동,서울특별시 송파구 신천동 15 잠실나루역,6110-2151,37.51893173,127.1047568
잠실(송파구청),2,송파구,잠실동,서울특별시 송파구 잠실동 8 잠실역(2호선),6110-2161,37.51770301,127.0746657
잠실새내,2,송파구,잠실동,서울특별시 송파구 잠실동 33 잠실새내역,6110-2171,37.51154926,127.0891944
종합운동장,2,송파구,잠실동,서울특별시 송파구 잠실동 122 종합운동장역,6110-2181,37.51110835,127.0742896
삼성(무역센터),2,강남,삼성동,서울특별시 강남구 삼성동 172-66 삼성역,6110-2191,37.50740937,127.0580262
선릉,2,강남,삼성동,서울특별시 강남구 삼성동 172-66 선릉역,6110-2201,37.50740937,127.0580262
역삼,2,강남,역삼동,서울특별시 강남구 역삼동 804 역삼역,6110-2211,37.50124939,127.0383316
강남,2,강남,역삼동,서울특별시 강남구 역삼동 858 강남역,6110-2221,37.49705725,127.0281807
교대(법원·검찰청),2,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(2호선),6110-2231,37.49486936,127.0173209
서초,2,서초구,서초동,서울특별시 서초구 서초동 1748-5 서초역,6110-2241,37.49279505,127.0105692
방배,2,서초구,방배동,서울특별시 서초구 방배동 912-14 방배역,6110-2251,37.48134043,126.9973406
사당,2,동작구,사당동,서울특별시 동작구 사당동 1129 사당역(2호선),6110-2261,37.47611377,126.9733888
낙성대,2,관악구,봉천동,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,6110-2271,37.47666208,126.9646102
서울대입구(관악구청),2,관악구,봉천동,서울특별시 관악구 봉천동 979-2 서울대입구역사,6110-2281,37.48124325,126.9516163
봉천,2,관악구,봉천동,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,6110-2291,0,0
신림,2,관악구,신림동,서울특별시 관악구 신림동 1467-10 2호선 신림역사,6110-2301,37.48411965,126.9287121
신대방,2,동작구,신대방동,서울특별시 동작구 신대방동 643-1 신대방역 2호선,6110-2311,37.48755023,126.9129604
구로디지털단지,2,구로구,구로동,서울특별시 구로구 구로동 810-3 구로디지털단지역,6110-2321,37.4854463,126.9008619
대림(구로구청),2,구로구,구로동,서울특별시 구로구 구로동 1204 대림역(2호선),6110-2331,37.49343182,126.8947997
신도림,2,구로구,신도림동,서울특별시 구로구 신도림동 460-26 2호선 신도림역,6110-2341,37.508739,126.891109
문래,2,영등포구,문래동3가,서울특별시 영등포구 문래동3가 68-1문래역,6110-2351,37.51873812,126.8949474
영등포구청,2,영등포구,당산동3가,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),6110-2361,37.52481257,126.8968734
당산,2,영등포구,당산동,서울특별시 영등포구 당산동 6가 323-1 당산역,6110-2371,37.53508418,126.9028452
합정,2,마포구,서교동,서울특별시 마포구 서교동 393 합정역(2호선),6110-2381,37.55011521,126.9146382
홍대입구,2,마포구,동교동,서울특별시 마포구 동교동 165 홍대입구역,6110-2391,37.55689041,126.9236743
신촌,2,마포구,노고산동,서울특별시 마포구 노고산동 31-11 신촌역,6110-2401,37.55467374,126.9375614
이대,2,마포구,염리동,서울특별시 마포구 염리동 8-85 이대역,6110-2411,37.55685269,126.9477304
아현,2,마포구,아현동,서울특별시 마포구 아현동 354-23 아현역,6110-2421,37.55476281,126.9565871
충정로(경기대입구),2,서대문구,충정로3가,서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),6110-2431,37.55954975,126.9638761
용답,2,성동구,용답동,서울특별시 성동구 용답동 127 용답역,6110-1341,37.56543649,127.0544551
신답,2,성동구,용답동,서울특별시 성동구 용답동 129-2 신답역,6110-1351,37.57069554,127.0454381
용두(동대문구청),2,동대문구,용두동,서울특별시 동대문구 용두동 47-1 용두역,6110-1361,37.57394181,127.0386537
신설동,2,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),6110-1371,37.5764587,127.0259607
도림천,2,구로구,신도림동,서울특별시 구로구 신도림동 323-16 도림천역,6110-2441,37.51428383,126.8829717
양천구청,2,양천구,신정동,서울특별시 양천구 신정동 276-7 양천구청역,6110-2451,37.51256162,126.8657422
신정네거리,2,양천구,신정동,서울특별시 양천구 신정동 1231 신정네거리역,6110-2461,37.51833068,126.8536292
까치산,2,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역,6110-5180,37.53254002,126.8462607
지축,3,고양시 덕양구,덕양구,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,6110-3191,37.64870193,126.9117801
구파발,3,은평구,진관동,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,6110-3201,37.63758001,126.9185477
연신내,3,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역(3호선),6110-3211,37.6189326,126.920853
불광,3,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(3호선),6110-3221,37.61053751,126.9292988
녹번,3,은평구,녹번동,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,6110-3231,37.60079752,126.9358915
홍제,3,서대문구,홍제동,서울특별시 서대문구 홍제동 161-1 홍제역,6110-3241,37.58731665,126.9458427
무악재,3,서대문구,홍제동,서울특별시 서대문구 홍제동 26-1 무악재역,6110-3251,37.5824229,126.9505663
독립문,3,서대문구,현저동,서울특별시 서대문구 현저동 101 독립문역,6110-3261,37.57448172,126.9560391
경복궁(정부서울청사),3,종로구,적선동,서울특별시 종로구 적선동 81-1 3호선 경복궁역,6110-3271,37.57576114,126.9732065
안국,3,종로구,안국동,서울특별시 종로구 안국동 155-2 3호선 안국역,6110-3281,0,0
종로3가,3,종로구,묘동,서울특별시 종로구 묘동 59 종로3가역(3호선),6110-3291,0,0
을지로3가,3,중구,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),6110-3301,37.56640799,126.9936318
충무로,3,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",6110-4231,37.56120982,126.9943296
동대입구,3,중구,장충동2가,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,6110-3321,37.55921323,127.0051125
약수,3,중구,신당동,서울특별시 중구 신당동 369-44 약수역(3호선),6110-3331,37.55444854,127.0109909
금호,3,성동구,금호동4가,서울특별시 성동구 금호동4가 1470 금호역,6110-3341,37.54811252,127.0158938
옥수,3,성동구,옥수동,서울특별시 성동구 옥수동 168-1 옥수역,6110-3351,37.53992009,127.017224
압구정,3,강남구,신사동,서울특별시 강남구 신사동 668 압구정역,6110-3361,37.52354279,127.0283088
신사,3,강남구,신사동,서울특별시 강남구 신사동 667 신사역,6110-3371,37.51967228,127.0187516
잠원,3,서초구,잠원동,서울특별시 서초구 잠원동 100-1 잠원역,6110-3381,37.51306288,127.0117455
고속터미널,3,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),6110-3391,37.50484971,127.0048754
